# index x y theta
0.000000 0.0 10.0 0.0
1.000000 6.606037 10.464649 0.322545
2.000000 8.437953 14.938509 0.87
3.000000 5.290425 3.786102 -2.094796
4.000000 4.771682 -8.865417 -0.196600
5.000000 8.591273 -3.574131 1.280137
6.000000 -4.450027 -8.886150 2.159598
7.000000 -4.452588 3.848103 1.218605
8.000000 0.056891 9.959343 0.872935
9.000000 5.198035 -14.922376 -1.391589
10.000000 4.758308 -22.996359 -0.141099
11.000000 8.711964 -17.255310 1.157904
12.000000 4.332743 -28.028866 -2.552793
13.000000 0.433145 -24.595369 -3.075670
14.000000 -7.851547 -25.836300 -2.381707
15.000000 -4.841663 -24.011251 1.648365
16.000000 -8.690130 -17.674658 1.925591
17.000000 -0.330415 -14.523378 0.175469
18.000000 -8.262375 -5.254344 1.732685
19.000000 0.0 10.0 0.0
