# index x y theta
0.000000 0.758183 -1.343907 -1.051651
1.000000 4.525880 1.021538 -0.197397
2.000000 7.650748 -1.131733 -0.785399
3.000000 7.650748 -3.363782 -2.466852
4.000000 4.754021 -2.067811 2.720173
5.000000 0.980861 -3.888969 -2.731465
6.000000 -2.327823 -1.289290 2.720173
7.000000 -5.483726 0.016518 2.587286
8.000000 -7.949611 0.382742 -2.214299
9.000000 -8.088972 -2.975068 -1.190290
10.000000 -4.998480 -3.649310 0.669639
11.000000 -0.479889 2.844992 1.398605
12.000000 1.547 0.541 -1.982
