# index x y theta
0.000000 3.658806 1.908831 0.102690
1.000000 5.870384 0.987247 -1.524560
2.000000 5.744631 -3.547575 -1.538079
3.000000 5.105216 -7.736235 3.050598
4.000000 0.881510 -7.234083 2.467550
5.000000 -1.591881 -3.699869 2.971443
6.000000 -4.979298 -7.737350 -2.521108
7.000000 -4.991924 -3.390813 2.814841
8.000000 -5.484712 1.129924 0.709090
9.000000 -4.846328 5.112431 2.206152
10.000000 -2.758354 6.957403 -0.202396
11.000000 1.003400 6.835515 0.682671
12.000000 1.363650 3.294687 -1.639540
13.000000 0.156630 -1.028573 -0.720742
14.000000 3.277853 -2.126503 -0.366728
15.000000 3.900603 -4.706578 -1.963321
16.000000 0.177674 -3.691537 1.565796
