# index x y theta
0 9 -5 3.1415926
1 5.479035 -4.458022 3.141593
2 1.909191 -7.634340 -1.616220
3 -1.407672 -7.887321 -2.453922
4 -4.841336 -4.665292 3.126592
5 -8.993698 -7.864013 1.145668
6 5.588747 -0.886052 -0.201979
7 1.265649 1.399661 0.573002
8 9.408053 2.598787 2.161341
9 7.477612 8.840535 -0.904191
10 2.128083 6.418801 1.762120
11 -1.440374 8.412072 -1.613187
12 -8.014188 8.707473 2.814552
13 -5.507996 5.240192 0.003180
14 -0.901874 1.207278 -2.043456
15 -5.753508 -1.756055 1.078451
16 -9.320978 2.176940 0.069139
17 1.429783 -2.650953 -1.169094
