# index x y theta
0.000000 -0.4 -2.426750 -1.55003
1.000000 -0.4 -5.938055 -1.54298
2.000000 -0.607011 -10.507961 -2.4972
3.000000 -12.445 -11.868 -1.67
4.000000 -12.445 -11.868 -0.1
5.000000 -1.513753 -10.342517 0.21189
6.000000 -0.42 -5.938055 1.54298
7.000000 -1.076281 -2.852505 -4.279
8.000000 0.0 0.0 1.57
9.000000 0.210275 13.098836 1.550099
10.000000 -1.3659459 16.593398 3.012280
11.000000 -11.726548 16.575908 3.000666
12.000000 -20.015071 15.597900 -1.59853
13.000000 -20.258216 5.851684 -1.57
14.000000 -2.262988 3.943171 -0.397523
15.000000 -38.757919 -10.695537 1.710483
16.000000 -39.029121 4.628429 0.027820
17.000000 0.0 0.0 -1.57
