# index x y theta
0 -39.985188 14.005629 0.000000
1 -36.402248 5.881633 -1.584879
2 -31.490561 9.166484 1.951302
3 -17.560261 10.880130 1.157107
4 -12.894897 12.037331 1.570796
5 -11.324472 0.044993 -1.570797
6 -12.181068 -8.949258 -2.863293
7 -25.433483 -9.089166 -3.118341
8 -36.390667 -9.280479 1.690224
9 -39.348904 1.642239 2.645170
10 -36.390671 -20.582455 -2.327630
11 -41.700325 -26.726482 1.296627
12 -31.536129 -25.436998 0.530216
13 -16.744949 -20.734165 1.307804
14 -10.752628 -15.500360 0.802345
15 -16.593246 -9.887299 2.768605
16 -12.628242 6.065797 3.141593
17 -36.264729 9.555483 1.869294
